日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-03-17,1.816,1.808,1.818,1.806,2319779,420177632.0,0.67,0.28,0.005,4.51
2025-03-18,1.816,1.827,1.831,1.814,2826462,514272006.0,0.94,1.05,0.019,5.5
2025-03-19,1.806,1.81,1.813,1.804,2027277,366672312.0,0.49,-0.93,-0.017,3.94
2025-03-20,1.832,1.847,1.853,1.829,4118918,758335136.0,1.33,2.04,0.037,8.01
2025-03-21,1.837,1.835,1.843,1.831,2277394,418026343.0,0.65,-0.65,-0.012,4.43
2025-03-24,1.853,1.876,1.885,1.852,5471027,1024819813.0,1.8,2.23,0.041,10.64
2025-03-25,1.9,1.9,1.913,1.89,4099029,778854845.0,1.23,1.28,0.024,7.97
2025-03-26,1.909,1.897,1.911,1.896,2402023,456530686.0,0.79,-0.16,-0.003,4.67
2025-03-27,1.858,1.862,1.868,1.857,2756589,513535862.0,0.58,-1.85,-0.035,5.36
2025-03-28,1.851,1.847,1.854,1.846,2341323,432909422.0,0.43,-0.81,-0.015,4.55
2025-03-31,1.786,1.768,1.79,1.749,5496751,973375605.0,2.22,-4.28,-0.079,10.69
2025-04-01,1.777,1.796,1.797,1.776,3209840,572893527.0,1.19,1.58,0.028,6.24
2025-04-02,1.805,1.8,1.812,1.798,2434312,439463412.0,0.78,0.22,0.004,4.74
2025-04-03,1.758,1.761,1.775,1.756,3362943,593774192.0,1.06,-2.17,-0.039,6.54
2025-04-07,1.585,1.585,1.585,1.585,1659274,262994929.0,0.0,-9.99,-0.176,3.23
2025-04-08,1.617,1.644,1.654,1.617,8809004,1440284015.0,2.33,3.72,0.059,17.14
2025-04-09,1.57,1.627,1.631,1.569,10127981,1622636510.0,3.77,-1.03,-0.017,19.7
2025-04-10,1.79,1.79,1.79,1.75,7351914,1310975132.0,2.46,10.02,0.163,14.3
2025-04-11,1.712,1.775,1.81,1.71,7827999,1372117844.0,5.59,-0.84,-0.015,15.23
2025-04-14,1.79,1.797,1.803,1.788,4369686,784994151.0,0.85,1.24,0.022,8.5
2025-04-15,1.783,1.773,1.785,1.769,3338153,592638675.0,0.89,-1.34,-0.024,6.49
2025-04-16,1.755,1.73,1.757,1.725,5410215,941174624.0,1.8,-2.43,-0.043,10.52
2025-04-17,1.719,1.734,1.738,1.717,3798799,656037247.0,1.21,0.23,0.004,7.39
2025-04-18,1.72,1.725,1.73,1.718,1476291,254312999.0,0.69,-0.52,-0.009,2.87
