日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-03-20,6.82,6.807,6.825,6.799,2885806,1965397258.0,0.38,0.1,0.007,2.43
2025-03-21,6.808,6.774,6.81,6.762,2599056,1763391430.0,0.71,-0.48,-0.033,2.19
2025-03-24,6.77,6.78,6.782,6.758,1528904,1035354851.0,0.35,0.09,0.006,1.29
2025-03-25,6.758,6.774,6.778,6.751,1881733,1272978958.0,0.4,-0.09,-0.006,1.59
2025-03-26,6.78,6.795,6.797,6.775,1928881,1309338099.0,0.32,0.31,0.021,1.62
2025-03-27,6.797,6.812,6.817,6.791,2245290,1528152970.0,0.38,0.25,0.017,1.89
2025-03-28,6.912,6.938,6.939,6.894,4236335,2930627896.0,0.66,1.85,0.126,3.57
2025-03-31,6.942,7.012,7.045,6.942,6746864,4717070932.0,1.48,1.07,0.074,5.68
2025-04-01,7.065,7.056,7.098,7.041,7182597,5075882645.0,0.81,0.63,0.044,6.05
2025-04-02,7.07,7.029,7.083,7.019,4185809,2951070225.0,0.91,-0.38,-0.027,3.53
2025-04-03,7.135,7.094,7.173,7.068,7260741,5174808439.0,1.49,0.92,0.065,6.12
2025-04-07,6.801,6.877,7.06,6.8,12757845,8819492014.0,3.67,-3.06,-0.217,10.75
2025-04-08,6.878,6.925,6.938,6.852,6236428,4294930105.0,1.25,0.7,0.048,5.25
2025-04-09,6.89,7.012,7.02,6.888,7833600,5435770622.0,1.91,1.26,0.087,6.6
2025-04-10,7.134,7.164,7.166,7.071,9312016,6642456530.0,1.35,2.17,0.152,7.84
2025-04-11,7.34,7.273,7.34,7.225,9690465,7073077660.0,1.61,1.52,0.109,8.16
2025-04-14,7.301,7.327,7.354,7.301,7882789,5780997530.0,0.73,0.74,0.054,6.64
2025-04-15,7.327,7.325,7.334,7.315,4205902,3081021799.0,0.26,-0.03,-0.002,3.54
2025-04-16,7.44,7.503,7.506,7.421,7498510,5597029960.0,1.16,2.43,0.178,6.32
2025-04-17,7.655,7.565,7.66,7.541,10076525,7643429582.0,1.59,0.83,0.062,8.49
2025-04-18,7.564,7.583,7.589,7.533,4780541,3617039900.0,0.74,0.24,0.018,4.03
2025-04-21,7.684,7.724,7.727,7.677,7511946,5780384756.0,0.66,1.86,0.141,6.33
2025-04-22,7.871,7.982,8.033,7.86,15195021,12093412697.0,2.24,3.34,0.258,12.8
2025-04-23,7.759,7.5,7.759,7.486,25646888,19562766019.0,3.42,-6.04,-0.482,21.61
2025-04-24,7.67,7.582,7.707,7.55,13034734,9946839718.0,2.09,1.09,0.082,10.98
2025-04-25,7.641,7.53,7.656,7.486,9985943,7560930098.0,2.24,-0.69,-0.052,8.41
2025-04-28,7.499,7.465,7.511,7.443,8073010,6031534039.0,0.9,-0.86,-0.065,6.8
2025-04-29,7.561,7.517,7.586,7.485,6304713,4749487800.0,1.35,0.7,0.052,5.31
2025-04-30,7.525,7.471,7.529,7.467,4372928,3276215482.0,0.82,-0.61,-0.046,3.68
2025-05-06,7.596,7.612,7.659,7.57,9845270,7499496274.0,1.19,1.89,0.141,8.29
2025-05-07,7.614,7.671,7.678,7.588,7518649,5748539067.0,1.18,0.78,0.059,6.33
2025-05-08,7.679,7.557,7.732,7.538,11128511,8503906698.0,2.53,-1.49,-0.114,9.37
2025-05-09,7.502,7.531,7.555,7.427,8873009,6647216055.0,1.69,-0.34,-0.026,7.47
2025-05-12,7.341,7.376,7.399,7.341,6681992,4930947745.0,0.77,-2.06,-0.155,5.63
2025-05-13,7.291,7.332,7.339,7.224,9052166,6588647174.0,1.56,-0.6,-0.044,7.63
2025-05-14,7.309,7.277,7.322,7.265,5481793,3996673209.0,0.78,-0.75,-0.055,4.62
2025-05-15,7.165,7.062,7.169,7.01,12901239,9132430391.0,2.18,-2.95,-0.215,10.87
2025-05-16,7.195,7.177,7.204,7.157,8552748,6143784727.0,0.67,1.63,0.115,7.2
2025-05-19,7.206,7.222,7.231,7.193,6332771,4567415868.0,0.53,0.63,0.045,5.33
2025-05-20,7.217,7.209,7.238,7.196,4608628,3324544898.0,0.58,-0.18,-0.013,3.88
2025-05-21,7.381,7.439,7.44,7.376,7543865,5587558730.0,0.89,3.19,0.23,6.36
2025-05-22,7.478,7.45,7.505,7.448,7270548,5439783047.0,0.77,0.15,0.011,6.12
2025-05-23,7.405,7.454,7.457,7.373,6059359,4495380260.0,1.13,0.05,0.004,5.1
2025-05-26,7.438,7.425,7.472,7.423,4423087,3294213684.0,0.66,-0.39,-0.029,3.73
2025-05-27,7.434,7.366,7.456,7.356,6034573,4472910506.0,1.35,-0.79,-0.059,5.08
2025-05-28,7.369,7.375,7.389,7.341,3049976,2247365541.0,0.65,0.12,0.009,2.57
2025-05-29,7.263,7.3,7.31,7.26,4232817,3084681573.0,0.68,-1.02,-0.075,3.57
2025-05-30,7.39,7.369,7.391,7.335,3635737,2675997478.0,0.77,0.95,0.069,3.06
2025-06-03,7.501,7.478,7.519,7.461,6061707,4544989593.0,0.79,1.48,0.109,5.11
2025-06-04,7.488,7.474,7.503,7.459,4161572,3113658616.0,0.59,-0.05,-0.004,3.51
2025-06-05,7.499,7.483,7.504,7.469,3385336,2534787070.0,0.47,0.12,0.009,2.85
2025-06-06,7.477,7.481,7.492,7.469,3753551,2807696362.0,0.31,-0.03,-0.002,3.16
2025-06-09,7.364,7.4,7.401,7.331,5058251,3726449040.0,0.94,-1.08,-0.081,4.26
2025-06-10,7.366,7.405,7.42,7.353,5177959,3822935723.0,0.91,0.07,0.005,4.36
2025-06-11,7.42,7.428,7.436,7.404,3606998,2677639427.0,0.43,0.31,0.023,3.04
2025-06-12,7.505,7.497,7.512,7.474,3894631,2919654502.0,0.51,0.93,0.069,3.28
2025-06-13,7.616,7.588,7.653,7.57,8880624,6764698782.0,1.11,1.21,0.091,7.48
2025-06-16,7.629,7.563,7.634,7.548,6637312,5041475386.0,1.13,-0.33,-0.025,5.59
2025-06-17,7.525,7.499,7.528,7.47,5031522,3775707856.0,0.77,-0.85,-0.064,4.24
2025-06-18,7.499,7.503,7.527,7.476,3848653,2886557970.0,0.68,0.05,0.004,3.24
2025-06-19,7.5,7.465,7.506,7.444,3668574,2741981668.0,0.83,-0.51,-0.038,3.09
2025-06-20,7.46,7.436,7.464,7.423,3652503,2717567425.0,0.55,-0.39,-0.029,3.08
2025-06-23,7.452,7.464,7.485,7.441,3685197,2750226776.0,0.59,0.38,0.028,3.1
2025-06-24,7.431,7.372,7.44,7.354,5816473,4305391870.0,1.15,-1.23,-0.092,4.9
2025-06-25,7.378,7.392,7.398,7.376,2847107,2103580236.0,0.3,0.27,0.02,2.4
2025-06-26,7.39,7.405,7.406,7.385,2771479,2049012994.0,0.28,0.18,0.013,2.33
2025-06-27,7.365,7.326,7.375,7.311,4558534,3345234504.0,0.86,-1.07,-0.079,3.84
2025-06-30,7.3,7.314,7.321,7.274,3366574,2457750199.0,0.64,-0.16,-0.012,2.84
2025-07-01,7.359,7.397,7.4,7.346,3478679,2564118180.0,0.74,1.13,0.083,2.93
2025-07-02,7.395,7.394,7.418,7.384,2916548,2157429707.0,0.46,-0.04,-0.003,2.46
2025-07-03,7.407,7.445,7.453,7.407,2959903,2199395168.0,0.62,0.69,0.051,2.49
2025-07-04,7.4,7.407,7.413,7.376,2572291,1902194152.0,0.5,-0.51,-0.038,2.17
2025-07-07,7.348,7.355,7.367,7.344,2817844,2072584679.0,0.31,-0.7,-0.052,2.37
2025-07-08,7.397,7.398,7.406,7.389,2178996,1612084341.0,0.23,0.58,0.043,1.84
2025-07-09,7.347,7.314,7.348,7.304,4255341,3116306560.0,0.59,-1.14,-0.084,3.58
2025-07-10,7.371,7.371,7.38,7.358,3020038,2225855850.0,0.3,0.78,0.057,2.54
2025-07-11,7.375,7.376,7.392,7.372,2616554,1931126841.0,0.27,0.07,0.005,2.2
2025-07-14,7.426,7.44,7.445,7.413,2671885,1983515657.0,0.43,0.87,0.064,2.25
2025-07-15,7.41,7.436,7.445,7.401,2689311,1996432231.0,0.59,-0.05,-0.004,2.27
2025-07-16,7.394,7.402,7.407,7.378,2390714,1767210158.0,0.39,-0.46,-0.034,2.01
2025-07-17,7.403,7.397,7.411,7.386,2083170,1541460812.0,0.34,-0.07,-0.005,1.75
2025-07-18,7.394,7.403,7.407,7.391,1840285,1361500094.0,0.22,0.08,0.006,1.55
2025-07-21,7.43,7.446,7.454,7.42,3004574,2233893918.0,0.46,0.58,0.043,2.53
2025-07-22,7.483,7.474,7.489,7.47,3620034,2707621582.0,0.26,0.38,0.028,3.05
2025-07-23,7.54,7.548,7.549,7.525,3141072,2368464628.0,0.32,0.99,0.074,2.65
2025-07-24,7.459,7.424,7.461,7.415,4405109,3275368218.0,0.61,-1.64,-0.124,3.71
2025-07-25,7.415,7.409,7.421,7.399,2547627,1887414454.0,0.3,-0.2,-0.015,2.15
2025-07-28,7.382,7.388,7.398,7.367,2841433,2096675236.0,0.42,-0.28,-0.021,2.39
2025-07-29,7.35,7.363,7.366,7.345,2631616,1936018254.0,0.28,-0.34,-0.025,2.22
2025-07-30,7.387,7.377,7.389,7.367,2817736,2078603635.0,0.3,0.19,0.014,2.37
2025-07-31,7.329,7.35,7.356,7.315,3041657,2231589344.0,0.56,-0.37,-0.027,2.56
2025-08-01,7.343,7.352,7.366,7.331,1923996,1413896110.0,0.48,0.03,0.002,1.62
2025-08-04,7.432,7.446,7.447,7.432,4261136,3170843970.0,0.2,1.28,0.094,3.59
2025-08-05,7.481,7.455,7.486,7.454,3224587,2408802907.0,0.43,0.12,0.009,2.72
2025-08-06,7.472,7.468,7.482,7.46,2661820,1988337088.0,0.3,0.17,0.013,2.24
2025-08-07,7.471,7.484,7.488,7.459,3136422,2344129227.0,0.39,0.21,0.016,2.64
2025-08-08,7.488,7.508,7.513,7.488,3380603,2535544417.0,0.33,0.32,0.024,2.85
2025-08-11,7.452,7.429,7.46,7.423,3596888,2678359430.0,0.49,-1.05,-0.079,3.03
2025-08-12,7.412,7.399,7.416,7.393,2814917,2084438530.0,0.31,-0.4,-0.03,2.37
2025-08-13,7.395,7.415,7.416,7.394,2306006,1707832442.0,0.3,0.22,0.016,1.94
2025-08-14,7.431,7.424,7.438,7.413,2287805,1698855241.0,0.34,0.12,0.009,1.93
2025-08-15,7.384,7.401,7.41,7.381,2080440,1538722974.0,0.39,-0.31,-0.023,1.75
2025-08-18,7.398,7.413,7.43,7.393,2281711,1690072000.0,0.5,0.16,0.012,1.92
2025-08-19,7.386,7.391,7.4,7.386,1826993,1350510204.0,0.19,-0.3,-0.022,1.54
2025-08-20,7.362,7.374,7.377,7.35,2049639,1509440993.0,0.37,-0.23,-0.017,1.73
2025-08-21,7.403,7.394,7.408,7.387,2232927,1652146836.0,0.28,0.27,0.02,1.88
2025-08-22,7.395,7.378,7.4,7.373,1949287,1439892466.0,0.37,-0.22,-0.016,1.64
2025-08-25,7.419,7.427,7.43,7.417,2885724,2141946403.0,0.18,0.66,0.049,2.43
2025-08-26,7.437,7.449,7.45,7.437,2935326,2185176566.0,0.18,0.3,0.022,2.47
2025-08-27,7.461,7.45,7.461,7.444,2359129,1758733831.0,0.23,0.01,0.001,1.99
2025-08-28,7.462,7.468,7.47,7.459,2231073,1665240691.0,0.15,0.24,0.018,1.88
2025-08-29,7.48,7.486,7.488,7.478,2177647,1629642851.0,0.13,0.24,0.018,1.83
2025-09-01,7.546,7.647,7.658,7.542,8445148,6431354808.0,1.55,2.15,0.161,7.11
2025-09-02,7.75,7.67,7.75,7.663,6506048,5006529827.0,1.14,0.3,0.023,5.48
2025-09-03,7.76,7.768,7.787,7.746,5354584,4158516363.0,0.53,1.28,0.098,4.51
2025-09-04,7.795,7.75,7.795,7.694,5618614,4352594756.0,1.3,-0.23,-0.018,4.73
2025-09-05,7.773,7.775,7.782,7.755,3441495,2674763266.0,0.35,0.32,0.025,2.9
2025-09-08,7.811,7.847,7.848,7.808,4139098,3240893040.0,0.51,0.93,0.072,3.49
2025-09-09,7.934,7.966,7.987,7.928,6959081,5537633289.0,0.75,1.52,0.119,5.86
2025-09-10,7.906,7.947,7.953,7.898,3986089,3160253380.0,0.69,-0.24,-0.019,3.36
2025-09-11,7.963,7.923,7.968,7.901,4109334,3259869667.0,0.84,-0.3,-0.024,3.46
2025-09-12,7.932,7.954,7.966,7.932,3287668,2613712618.0,0.43,0.39,0.031,2.77
2025-09-15,7.908,7.931,7.947,7.907,2852905,2262570508.0,0.5,-0.29,-0.023,2.4
2025-09-16,8.007,8.032,8.034,7.988,3394976,2718705446.0,0.58,1.27,0.101,2.86
2025-09-17,8.01,7.964,8.01,7.955,4282964,3417850247.0,0.68,-0.85,-0.068,3.61
2025-09-18,7.901,7.862,7.949,7.859,5565626,4399557224.0,1.13,-1.28,-0.102,4.69
2025-09-19,7.901,7.898,7.917,7.869,3237996,2556742578.0,0.61,0.46,0.036,2.73
2025-09-22,8.005,8.048,8.058,7.984,4532519,3632554944.0,0.94,1.9,0.15,3.82
2025-09-23,8.125,8.143,8.149,8.105,5115504,4158136063.0,0.55,1.18,0.095,4.31
2025-09-24,8.141,8.19,8.204,8.123,4399011,3591418429.0,0.99,0.58,0.047,3.71
2025-09-25,8.16,8.146,8.164,8.116,4441117,3614722212.0,0.59,-0.54,-0.044,3.74
2025-09-26,8.15,8.16,8.183,8.147,3845481,3138261886.0,0.44,0.17,0.014,3.24
2025-09-29,8.177,8.259,8.268,8.174,5329507,4380687035.0,1.15,1.21,0.099,4.49
2025-09-30,8.324,8.339,8.388,8.324,6669569,5576070203.0,0.77,0.97,0.08,5.62
2025-10-09,8.724,8.729,8.779,8.69,8014425,6996319980.0,1.07,4.68,0.39,6.75
2025-10-10,8.637,8.602,8.651,8.586,6414709,5528015329.0,0.74,-1.45,-0.127,5.4
2025-10-13,8.77,8.859,8.868,8.77,7739480,6826004392.0,1.14,2.99,0.257,6.52
2025-10-14,9.1,8.976,9.377,8.878,16679605,15094002873.0,5.63,1.32,0.117,14.05
2025-10-15,9.143,9.187,9.19,9.09,9193141,8404693734.0,1.11,2.35,0.211,7.74
