日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-03-20,2.923,2.918,2.934,2.915,1911142,585948012.0,0.65,-0.17,-0.005,3.77
2025-03-21,2.915,2.912,2.937,2.9,1745557,534916071.0,1.27,-0.21,-0.006,3.44
2025-03-24,2.911,2.935,2.937,2.911,1462197,448782776.0,0.89,0.79,0.023,2.88
2025-03-25,2.93,2.957,2.957,2.929,1690546,522325495.0,0.95,0.75,0.022,3.33
2025-03-26,2.953,2.958,2.96,2.941,1713990,530788815.0,0.64,0.03,0.001,3.38
2025-03-27,2.957,2.956,2.962,2.948,939027,291081985.0,0.47,-0.07,-0.002,1.85
2025-03-28,2.952,2.939,2.956,2.931,1571929,484495058.0,0.85,-0.58,-0.017,3.1
2025-03-31,2.936,2.93,2.952,2.924,1507175,464119231.0,0.95,-0.31,-0.009,2.97
2025-04-01,2.928,2.954,2.955,2.927,1136417,350848542.0,0.96,0.82,0.024,2.24
2025-04-02,2.954,2.969,2.973,2.949,1331272,413946188.0,0.81,0.51,0.015,2.62
2025-04-03,2.955,2.974,2.977,2.946,1451695,451452176.0,1.04,0.17,0.005,2.86
2025-04-07,2.907,2.795,2.91,2.732,4718645,1400235161.0,5.99,-6.02,-0.179,9.3
2025-04-08,2.796,2.86,2.86,2.795,2981326,888849289.0,2.33,2.33,0.065,5.87
2025-04-09,2.84,2.864,2.869,2.802,2688583,801625258.0,2.34,0.14,0.004,5.3
2025-04-10,2.877,2.895,2.905,2.867,2917030,885372931.0,1.33,1.08,0.031,5.75
2025-04-11,2.887,2.88,2.888,2.87,1207799,365078983.0,0.62,-0.52,-0.015,2.38
2025-04-14,2.88,2.908,2.912,2.877,1231224,374237437.0,1.22,0.97,0.028,2.43
2025-04-15,2.908,2.923,2.924,2.901,1189906,363495779.0,0.79,0.52,0.015,2.34
2025-04-16,2.92,2.939,2.941,2.913,1474685,452387325.0,0.96,0.55,0.016,2.91
2025-04-17,2.935,2.932,2.935,2.918,810585,248877279.0,0.58,-0.24,-0.007,1.6
2025-04-18,2.924,2.934,2.937,2.923,831692,255559322.0,0.48,0.07,0.002,1.64
