日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-03-20,1.325,1.317,1.326,1.315,575577,80325975.0,0.83,-0.6,-0.008,0.52
2025-03-21,1.315,1.317,1.327,1.312,441036,61502502.0,1.14,0.0,0.0,0.4
2025-03-24,1.318,1.326,1.327,1.316,775238,108408015.0,0.84,0.68,0.009,0.7
2025-03-25,1.326,1.336,1.337,1.324,753304,105847278.0,0.98,0.75,0.01,0.68
2025-03-26,1.332,1.331,1.335,1.327,540970,76057469.0,0.6,-0.37,-0.005,0.49
2025-03-27,1.328,1.335,1.339,1.328,728278,102713280.0,0.83,0.3,0.004,0.66
2025-03-28,1.336,1.334,1.337,1.331,919867,129626361.0,0.45,-0.07,-0.001,0.84
2025-03-31,1.337,1.339,1.349,1.333,856081,121177156.0,1.2,0.37,0.005,0.78
2025-04-01,1.339,1.344,1.345,1.334,1232898,174366803.0,0.82,0.37,0.005,1.12
2025-04-02,1.341,1.348,1.35,1.341,898340,127758307.0,0.67,0.3,0.004,0.82
2025-04-03,1.344,1.35,1.352,1.336,646981,91772342.0,1.19,0.15,0.002,0.59
2025-04-07,1.331,1.287,1.334,1.254,1397487,191336004.0,5.93,-4.67,-0.063,1.27
2025-04-08,1.285,1.317,1.319,1.285,1249535,171990818.0,2.64,2.33,0.03,1.13
2025-04-09,1.309,1.313,1.318,1.291,1545063,213359584.0,2.05,-0.3,-0.004,1.4
2025-04-10,1.32,1.321,1.324,1.311,1451953,202161373.0,0.99,0.61,0.008,1.32
2025-04-11,1.317,1.314,1.32,1.306,745115,103359720.0,1.06,-0.53,-0.007,0.68
2025-04-14,1.319,1.319,1.32,1.312,384881,53539407.0,0.61,0.38,0.005,0.35
2025-04-15,1.32,1.33,1.331,1.317,650412,91015967.0,1.06,0.83,0.011,0.59
2025-04-16,1.325,1.343,1.345,1.325,821064,115535226.0,1.5,0.98,0.013,0.75
2025-04-17,1.34,1.343,1.344,1.335,545546,77167356.0,0.67,0.0,0.0,0.5
2025-04-18,1.339,1.345,1.347,1.339,768254,108903673.0,0.6,0.15,0.002,0.7
2025-04-21,1.345,1.34,1.351,1.338,594029,84305989.0,0.97,-0.37,-0.005,0.54
2025-04-22,1.339,1.344,1.349,1.338,498140,70750412.0,0.82,0.3,0.004,0.45
2025-04-23,1.348,1.336,1.348,1.335,664390,93958272.0,0.97,-0.6,-0.008,0.6
