日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-03-20,1.103,1.094,1.108,1.093,8042064,884794976.0,1.36,-1.0,-0.011,5.74
2025-03-21,1.089,1.064,1.094,1.06,12183664,1306155507.0,3.11,-2.74,-0.03,8.7
2025-03-24,1.061,1.072,1.074,1.051,9470239,1009000624.0,2.16,0.75,0.008,6.76
2025-03-25,1.072,1.052,1.074,1.047,9084783,960887209.0,2.52,-1.87,-0.02,6.48
2025-03-26,1.05,1.052,1.063,1.05,5833410,616097189.0,1.24,0.0,0.0,4.16
2025-03-27,1.051,1.064,1.081,1.048,10338596,1100350727.0,3.14,1.14,0.012,7.38
2025-03-28,1.064,1.048,1.069,1.047,8217843,866426833.0,2.07,-1.5,-0.016,5.87
2025-03-31,1.041,1.049,1.054,1.033,8649288,902761289.0,2.0,0.1,0.001,6.17
2025-04-01,1.053,1.05,1.059,1.047,7371609,776236696.0,1.14,0.1,0.001,5.26
2025-04-02,1.046,1.047,1.057,1.044,5956981,624691292.0,1.24,-0.29,-0.003,4.25
2025-04-03,1.038,1.041,1.061,1.036,10293338,1078949313.0,2.39,-0.57,-0.006,7.35
2025-04-07,0.994,0.944,1.01,0.937,17378320,1688578558.0,7.01,-9.32,-0.097,12.4
2025-04-08,0.95,0.946,0.97,0.93,12438906,1178598105.0,4.24,0.21,0.002,8.88
2025-04-09,0.931,0.993,1.009,0.918,20979415,2054819981.0,9.62,4.97,0.047,14.97
2025-04-10,1.013,1.005,1.026,0.999,13422926,1357718376.0,2.72,1.21,0.012,9.58
2025-04-11,1.002,1.055,1.079,1.001,22313587,2324710351.0,7.76,4.98,0.05,15.93
2025-04-14,1.07,1.055,1.071,1.043,11955329,1260894314.0,2.65,0.0,0.0,8.53
2025-04-15,1.053,1.042,1.053,1.034,9060957,941639755.0,1.8,-1.23,-0.013,6.47
2025-04-16,1.048,1.049,1.055,1.032,9031479,943500398.0,2.21,0.67,0.007,6.45
2025-04-17,1.042,1.055,1.069,1.04,10043088,1063881469.0,2.76,0.57,0.006,7.17
2025-04-18,1.053,1.044,1.053,1.038,6820985,711771639.0,1.42,-1.04,-0.011,4.87
2025-04-21,1.046,1.055,1.056,1.043,6175050,649661017.0,1.25,1.05,0.011,4.41
2025-04-22,1.054,1.053,1.062,1.046,6894218,727052392.0,1.52,-0.19,-0.002,4.92
2025-04-23,1.055,1.053,1.057,1.044,8424884,884902663.0,1.23,0.0,0.0,6.01
2025-04-24,1.051,1.039,1.052,1.035,7193049,749635527.0,1.61,-1.33,-0.014,5.13
2025-04-25,1.038,1.036,1.044,1.026,8050990,832581795.0,1.73,-0.29,-0.003,5.75
2025-04-28,1.036,1.037,1.043,1.028,6315451,654989148.0,1.45,0.1,0.001,4.51
2025-04-29,1.034,1.047,1.049,1.03,6438450,669900027.0,1.83,0.96,0.01,4.6
2025-04-30,1.048,1.06,1.062,1.043,7835112,827837860.0,1.81,1.24,0.013,5.59
2025-05-06,1.064,1.078,1.078,1.062,7791382,834623443.0,1.51,1.7,0.018,5.56
2025-05-07,1.092,1.072,1.096,1.062,8845336,951517063.0,3.15,-0.56,-0.006,6.31
2025-05-08,1.066,1.068,1.071,1.062,6271276,668883821.0,0.84,-0.37,-0.004,4.48
2025-05-09,1.062,1.043,1.063,1.04,10305885,1079485359.0,2.15,-2.34,-0.025,7.36
2025-05-12,1.048,1.05,1.055,1.041,8531870,893374930.0,1.34,0.67,0.007,6.09
2025-05-13,1.057,1.043,1.06,1.042,7562052,793733196.0,1.71,-0.67,-0.007,5.4
2025-05-14,1.046,1.047,1.055,1.038,9548940,998587897.0,1.63,0.38,0.004,6.82
2025-05-15,1.046,1.025,1.046,1.025,10222182,1055465708.0,2.01,-2.1,-0.022,7.3
2025-05-16,1.023,1.023,1.029,1.021,5591834,572787448.0,0.78,-0.2,-0.002,3.99
2025-05-19,1.024,1.028,1.031,1.016,6426218,658044969.0,1.47,0.49,0.005,4.59
2025-05-20,1.028,1.032,1.036,1.024,5439176,561216986.0,1.17,0.39,0.004,3.88
2025-05-21,1.03,1.022,1.031,1.02,6386267,653450126.0,1.07,-0.97,-0.01,4.56
2025-05-22,1.02,1.017,1.032,1.016,7523805,770240092.0,1.57,-0.49,-0.005,5.37
2025-05-23,1.016,1.004,1.021,1.003,9355177,946022223.0,1.77,-1.28,-0.013,6.68
2025-05-26,1.008,1.013,1.016,1.006,7290623,736746165.0,1.0,0.9,0.009,5.2
2025-05-27,1.009,0.997,1.01,0.997,7882628,789580611.0,1.28,-1.58,-0.016,5.63
2025-05-28,1.0,0.99,1.001,0.989,6207010,616493613.0,1.2,-0.7,-0.007,4.43
2025-05-29,0.994,1.011,1.012,0.993,9365636,940587421.0,1.92,2.12,0.021,6.68
2025-05-30,1.006,0.996,1.007,0.994,7064995,704572195.0,1.29,-1.48,-0.015,5.04
2025-06-03,0.992,1.004,1.013,0.99,7401285,744527955.0,2.31,0.8,0.008,5.28
2025-06-04,1.003,1.008,1.012,1.003,5376480,542089073.0,0.9,0.4,0.004,3.84
2025-06-05,1.01,1.027,1.029,1.007,11554314,1177167829.0,2.18,1.88,0.019,8.25
2025-06-06,1.027,1.027,1.033,1.021,6634310,681305002.0,1.17,0.0,0.0,4.74
2025-06-09,1.027,1.029,1.031,1.023,6024994,618714038.0,0.78,0.19,0.002,4.3
2025-06-10,1.029,1.007,1.03,1.001,10170107,1029394861.0,2.82,-2.14,-0.022,7.26
2025-06-11,1.007,1.006,1.015,1.005,6285855,634339100.0,0.99,-0.1,-0.001,4.49
2025-06-12,1.005,0.997,1.006,0.995,8983149,897867940.0,1.09,-0.89,-0.009,6.41
2025-06-13,0.992,0.993,1.0,0.988,8222979,816680218.0,1.2,-0.4,-0.004,5.87
2025-06-16,0.99,0.996,1.002,0.988,5182738,516407253.0,1.41,0.3,0.003,3.7
2025-06-17,0.999,0.991,1.0,0.988,6281744,623048936.0,1.2,-0.5,-0.005,4.48
2025-06-18,0.991,0.999,1.004,0.987,8725860,869105943.0,1.72,0.81,0.008,6.23
2025-06-19,0.997,0.999,1.013,0.996,10168564,1021405757.0,1.7,0.0,0.0,7.26
2025-06-20,0.999,0.992,1.006,0.991,6739225,671620317.0,1.5,-0.7,-0.007,4.81
2025-06-23,0.988,1.003,1.01,0.986,10756590,1078040654.0,2.42,1.11,0.011,7.68
2025-06-24,1.004,1.02,1.022,1.004,12826169,1303059147.0,1.79,1.69,0.017,9.15
2025-06-25,1.022,1.042,1.042,1.017,15279567,1572143770.0,2.45,2.16,0.022,10.91
2025-06-26,1.039,1.028,1.049,1.028,13029945,1352876116.0,2.02,-1.34,-0.014,9.3
2025-06-27,1.037,1.033,1.045,1.025,12504391,1295394389.0,1.95,0.49,0.005,8.92
2025-06-30,1.039,1.049,1.051,1.039,11593877,1213688146.0,1.16,1.55,0.016,8.27
2025-07-01,1.049,1.044,1.054,1.037,9113684,952559190.0,1.62,-0.48,-0.005,6.5
2025-07-02,1.042,1.023,1.042,1.02,11698328,1201254285.0,2.11,-2.01,-0.021,8.35
2025-07-03,1.023,1.024,1.028,1.018,8905545,909936498.0,0.98,0.1,0.001,6.36
2025-07-04,1.023,1.022,1.038,1.012,13849410,1417929272.0,2.54,-0.2,-0.002,9.88
2025-07-07,1.019,1.019,1.026,1.017,5422686,553170938.0,0.88,-0.29,-0.003,3.87
2025-07-08,1.022,1.031,1.032,1.019,9710131,997825499.0,1.28,1.18,0.012,6.93
2025-07-09,1.031,1.019,1.033,1.017,10116476,1035714306.0,1.55,-1.16,-0.012,7.22
2025-07-10,1.018,1.016,1.021,1.012,9661924,981632855.0,0.88,-0.29,-0.003,6.9
2025-07-11,1.016,1.031,1.035,1.011,15341018,1575254168.0,2.36,1.48,0.015,10.95
2025-07-14,1.031,1.025,1.034,1.024,9092425,933778035.0,0.97,-0.58,-0.006,6.49
2025-07-15,1.024,1.022,1.029,1.015,13420386,1371107896.0,1.37,-0.29,-0.003,9.58
2025-07-16,1.023,1.025,1.041,1.022,14377663,1481536150.0,1.86,0.29,0.003,10.26
2025-07-17,1.024,1.032,1.032,1.017,13765182,1408496191.0,1.46,0.68,0.007,9.82
2025-07-18,1.033,1.034,1.046,1.027,16701428,1729691022.0,1.84,0.19,0.002,11.92
2025-07-21,1.034,1.035,1.037,1.03,11433695,1182259579.0,0.68,0.1,0.001,8.16
2025-07-22,1.035,1.037,1.044,1.03,16788458,1741820620.0,1.35,0.19,0.002,11.98
2025-07-23,1.037,1.044,1.052,1.034,21518745,2247094170.0,1.74,0.68,0.007,15.36
2025-07-24,1.044,1.06,1.061,1.043,18155301,1915611929.0,1.72,1.53,0.016,12.96
2025-07-25,1.061,1.082,1.087,1.053,20898010,2231008035.0,3.21,2.08,0.022,14.92
2025-07-28,1.084,1.081,1.086,1.074,13565092,1465515076.0,1.11,-0.09,-0.001,9.68
2025-07-29,1.077,1.097,1.098,1.076,15324630,1668582760.0,2.04,1.48,0.016,10.94
2025-07-30,1.094,1.087,1.105,1.078,15530828,1697435065.0,2.46,-0.91,-0.01,11.08
2025-07-31,1.084,1.074,1.1,1.071,17087400,1854966256.0,2.67,-1.2,-0.013,12.2
2025-08-01,1.073,1.065,1.086,1.056,11938387,1276667499.0,2.79,-0.84,-0.009,8.52
2025-08-04,1.059,1.079,1.08,1.058,10260298,1100607299.0,2.07,1.31,0.014,7.32
2025-08-05,1.081,1.081,1.082,1.074,8037405,866979102.0,0.74,0.19,0.002,5.74
2025-08-06,1.081,1.091,1.091,1.075,9096383,985919809.0,1.48,0.93,0.01,6.49
2025-08-07,1.092,1.097,1.112,1.086,20116352,2211957813.0,2.38,0.55,0.006,14.36
2025-08-08,1.091,1.076,1.092,1.075,12664125,1368675902.0,1.55,-1.91,-0.021,9.04
2025-08-11,1.075,1.084,1.09,1.075,9267873,1004400521.0,1.39,0.74,0.008,6.61
2025-08-12,1.084,1.113,1.121,1.079,19735997,2175429574.0,3.87,2.68,0.029,14.09
2025-08-13,1.11,1.124,1.125,1.108,12534181,1402301325.0,1.53,0.99,0.011,8.95
2025-08-14,1.125,1.131,1.165,1.123,22320520,2553838401.0,3.74,0.62,0.007,15.93
2025-08-15,1.125,1.154,1.158,1.123,13398751,1529099184.0,3.09,2.03,0.023,9.56
2025-08-18,1.175,1.18,1.19,1.151,15093814,1771411655.0,3.38,2.25,0.026,10.77
2025-08-19,1.176,1.163,1.183,1.161,11248037,1320002206.0,1.86,-1.44,-0.017,8.03
2025-08-20,1.158,1.208,1.208,1.151,20581377,2429255734.0,4.9,3.87,0.045,14.69
2025-08-21,1.211,1.201,1.236,1.195,16358118,1988607939.0,3.39,-0.58,-0.007,11.68
2025-08-22,1.21,1.311,1.315,1.21,29849687,3785383055.0,8.74,9.16,0.11,21.3
2025-08-25,1.337,1.33,1.381,1.297,24601237,3273258875.0,6.41,1.45,0.019,17.56
2025-08-26,1.311,1.315,1.331,1.294,17650248,2320866772.0,2.78,-1.13,-0.015,12.6
2025-08-27,1.325,1.321,1.387,1.316,23657199,3189667278.0,5.4,0.46,0.006,16.88
2025-08-28,1.325,1.416,1.418,1.324,29376435,4016982700.0,7.12,7.19,0.095,20.97
2025-08-29,1.386,1.38,1.388,1.353,17949554,2459840403.0,2.47,-2.54,-0.036,12.81
2025-09-01,1.4,1.403,1.416,1.361,17293945,2402746206.0,3.99,1.67,0.023,12.34
2025-09-02,1.395,1.355,1.409,1.342,19855560,2719461533.0,4.78,-3.42,-0.048,14.17
2025-09-03,1.349,1.332,1.366,1.324,15509398,2082219033.0,3.1,-1.7,-0.023,11.07
2025-09-04,1.328,1.234,1.331,1.214,21535083,2721465422.0,8.78,-7.36,-0.098,15.37
2025-09-05,1.233,1.277,1.285,1.222,16412048,2052923804.0,5.11,3.48,0.043,11.71
2025-09-08,1.276,1.277,1.281,1.25,10798804,1369384929.0,2.43,0.0,0.0,7.71
2025-09-09,1.264,1.247,1.276,1.242,9173547,1153273655.0,2.66,-2.35,-0.03,6.55
2025-09-10,1.256,1.264,1.278,1.25,10115756,1280245029.0,2.25,1.36,0.017,7.22
2025-09-11,1.26,1.341,1.344,1.251,17983717,2359821850.0,7.36,6.09,0.077,12.84
2025-09-12,1.341,1.366,1.391,1.333,14955082,2045816366.0,4.33,1.86,0.025,10.67
2025-09-15,1.414,1.374,1.415,1.365,13155720,1819130737.0,3.66,0.59,0.008,9.39
2025-09-16,1.376,1.387,1.402,1.374,11301522,1569921424.0,2.04,0.95,0.013,8.07
2025-09-17,1.384,1.408,1.42,1.364,11284959,1578708925.0,4.04,1.51,0.021,8.05
2025-09-18,1.424,1.426,1.488,1.393,23169092,3333558960.0,6.75,1.28,0.018,16.54
2025-09-19,1.429,1.409,1.45,1.402,12054084,1718901750.0,3.37,-1.19,-0.017,8.6
2025-09-22,1.401,1.462,1.475,1.394,13893344,2004650199.0,5.75,3.76,0.053,9.92
2025-09-23,1.465,1.467,1.476,1.42,13608900,1968962472.0,3.83,0.34,0.005,9.71
2025-09-24,1.458,1.543,1.568,1.457,16845719,2558284949.0,7.57,5.18,0.076,12.02
2025-09-25,1.537,1.546,1.56,1.517,13293727,2048550718.0,2.79,0.19,0.003,9.49
2025-09-26,1.531,1.523,1.562,1.517,12136364,1868817735.0,2.91,-1.49,-0.023,8.66
2025-09-29,1.521,1.54,1.542,1.493,10263335,1561133930.0,3.22,1.12,0.017,7.33
2025-09-30,1.56,1.576,1.59,1.548,12306827,1937616626.0,2.73,2.34,0.036,8.78
2025-10-09,1.608,1.621,1.675,1.601,14215225,2324809577.0,4.7,2.86,0.045,10.15
2025-10-10,1.589,1.524,1.595,1.512,19449110,3004801418.0,5.12,-5.98,-0.097,13.88
2025-10-13,1.459,1.557,1.558,1.459,17175670,2629779392.0,6.5,2.17,0.033,12.26
2025-10-14,1.57,1.47,1.574,1.457,20174964,3039774600.0,7.51,-5.59,-0.087,14.4
2025-10-15,1.469,1.492,1.493,1.445,12302748,1809383256.0,3.27,1.5,0.022,8.78
2025-10-16,1.482,1.484,1.516,1.474,8927764,1332395994.0,2.82,-0.54,-0.008,6.37
2025-10-17,1.472,1.423,1.48,1.42,13682082,1974300553.0,4.04,-4.11,-0.061,9.77
2025-10-20,1.448,1.433,1.468,1.42,10963060,1584809447.0,3.37,0.7,0.01,7.82
2025-10-21,1.441,1.473,1.476,1.431,12153159,1772186607.0,3.14,2.79,0.04,8.67
2025-10-22,1.456,1.467,1.489,1.436,9016535,1317894162.0,3.6,-0.41,-0.006,6.44
2025-10-23,1.454,1.455,1.459,1.428,8872191,1278333613.0,2.11,-0.82,-0.012,6.33
2025-10-24,1.474,1.528,1.534,1.47,17162108,2584714008.0,4.4,5.02,0.073,12.25
2025-10-27,1.561,1.565,1.57,1.527,18652236,2894609525.0,2.81,2.42,0.037,13.31
2025-10-28,1.548,1.551,1.576,1.538,10846655,1689124281.0,2.43,-0.89,-0.014,7.74
2025-10-29,1.545,1.555,1.573,1.531,13284606,2056110105.0,2.71,0.26,0.004,9.48
2025-10-30,1.554,1.52,1.556,1.518,11291542,1733368125.0,2.44,-2.25,-0.035,8.06
2025-10-31,1.513,1.465,1.515,1.463,15887788,2347932582.0,3.42,-3.62,-0.055,11.34
2025-11-03,1.446,1.452,1.453,1.412,12595510,1806622506.0,2.8,-0.89,-0.013,8.99
2025-11-04,1.454,1.436,1.467,1.427,10035616,1451408210.0,2.75,-1.1,-0.016,7.16
2025-11-05,1.404,1.424,1.434,1.401,10715310,1515474100.0,2.3,-0.84,-0.012,7.65
2025-11-06,1.445,1.48,1.484,1.441,13761302,2014096380.0,3.02,3.93,0.056,9.82
2025-11-07,1.461,1.461,1.478,1.453,7856129,1150111744.0,1.69,-1.28,-0.019,5.61
2025-11-10,1.465,1.453,1.479,1.43,8681389,1259512245.0,3.35,-0.55,-0.008,6.2
2025-11-11,1.46,1.429,1.472,1.425,9389668,1355248974.0,3.23,-1.65,-0.024,6.7
2025-11-12,1.416,1.422,1.434,1.4,8621229,1220526379.0,2.38,-0.49,-0.007,6.15
2025-11-13,1.415,1.447,1.452,1.415,9920984,1426461484.0,2.6,1.76,0.025,7.08
2025-11-14,1.423,1.4,1.43,1.398,10926467,1542319930.0,2.21,-3.25,-0.047,7.8
2025-11-17,1.398,1.397,1.425,1.389,7749872,1087703157.0,2.57,-0.21,-0.003,5.53
2025-11-18,1.393,1.411,1.43,1.391,10303592,1457784662.0,2.79,1.0,0.014,7.35
2025-11-19,1.404,1.398,1.42,1.391,7924058,1112813086.0,2.06,-0.92,-0.013,5.66
2025-11-20,1.417,1.379,1.42,1.376,8396534,1167160410.0,3.15,-1.36,-0.019,5.99
2025-11-21,1.351,1.322,1.358,1.32,11972742,1601253386.0,2.76,-4.13,-0.057,8.55
2025-11-24,1.326,1.333,1.345,1.306,9081604,1203215257.0,2.95,0.83,0.011,6.48
2025-11-25,1.348,1.347,1.369,1.341,9870032,1334623265.0,2.1,1.05,0.014,7.04
2025-11-26,1.339,1.369,1.38,1.335,11000407,1503272908.0,3.34,1.63,0.022,7.85
