日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-03-20,0.593,0.588,0.595,0.585,3279996,193643821.0,1.69,-0.68,-0.004,55.39
2025-03-21,0.583,0.57,0.584,0.569,2803700,161339718.0,2.55,-3.06,-0.018,47.34
2025-03-24,0.566,0.553,0.568,0.545,4199133,233008440.0,4.04,-2.98,-0.017,70.91
2025-03-25,0.552,0.545,0.554,0.543,2583480,141418535.0,1.99,-1.45,-0.008,43.62
2025-03-26,0.546,0.546,0.55,0.545,2364903,129350772.0,0.92,0.18,0.001,39.93
2025-03-27,0.547,0.554,0.567,0.543,40286125,2247687362.0,4.4,1.47,0.008,680.26
2025-03-28,0.553,0.546,0.56,0.545,13412256,741790403.0,2.71,-1.44,-0.008,226.48
2025-03-31,0.542,0.539,0.543,0.532,4345508,233473152.0,2.01,-1.28,-0.007,73.38
2025-04-01,0.541,0.537,0.544,0.536,3556643,191917527.0,1.48,-0.37,-0.002,60.06
2025-04-02,0.537,0.536,0.541,0.536,2698967,145299796.0,0.93,-0.19,-0.001,45.57
2025-04-03,0.534,0.533,0.544,0.529,6488430,348137717.0,2.8,-0.56,-0.003,109.56
2025-04-07,0.505,0.48,0.505,0.48,2118786,102631197.0,4.69,-9.94,-0.053,35.78
2025-04-08,0.467,0.463,0.48,0.453,7169345,333037307.0,5.63,-3.54,-0.017,121.06
2025-04-09,0.45,0.464,0.468,0.429,12560295,571466608.0,8.42,0.22,0.001,212.09
2025-04-10,0.477,0.472,0.484,0.471,11696332,559459070.0,2.8,1.72,0.008,197.5
2025-04-11,0.472,0.477,0.483,0.469,7122181,339532793.0,2.97,1.06,0.005,120.26
2025-04-14,0.481,0.479,0.483,0.478,4753661,228327192.0,1.05,0.42,0.002,80.27
2025-04-15,0.482,0.481,0.484,0.479,3586977,172674108.0,1.04,0.42,0.002,60.57
2025-04-16,0.481,0.476,0.484,0.47,6274431,299680094.0,2.91,-1.04,-0.005,105.95
2025-04-17,0.474,0.482,0.485,0.474,5471585,263947839.0,2.31,1.26,0.006,92.39
2025-04-18,0.482,0.481,0.483,0.478,2285430,109744616.0,1.04,-0.21,-0.001,38.59
2025-04-21,0.482,0.489,0.491,0.48,3574494,174188089.0,2.29,1.66,0.008,60.36
2025-04-22,0.489,0.49,0.493,0.487,3865219,189413708.0,1.23,0.2,0.001,65.27
2025-04-23,0.498,0.504,0.505,0.496,3277232,164036527.0,1.84,2.86,0.014,55.34
2025-04-24,0.503,0.497,0.506,0.496,3292411,164825675.0,1.98,-1.39,-0.007,55.59
2025-04-25,0.484,0.486,0.492,0.482,9674179,470350776.0,2.01,-2.21,-0.011,163.36
2025-04-28,0.489,0.489,0.495,0.488,4181805,205080353.0,1.44,0.62,0.003,70.61
2025-04-29,0.488,0.493,0.495,0.486,2679244,131697192.0,1.84,0.82,0.004,45.24
2025-04-30,0.493,0.502,0.503,0.493,4456180,222676267.0,2.03,1.83,0.009,75.25
2025-05-06,0.507,0.511,0.516,0.505,4543485,232131042.0,2.19,1.79,0.009,76.72
2025-05-07,0.52,0.509,0.522,0.505,4021693,205784553.0,3.33,-0.39,-0.002,67.91
