日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-03-20,1.955,1.981,1.983,1.951,3178334,625048370.0,1.66,2.48,0.048,3.24
2025-03-21,1.979,1.973,1.979,1.962,2256099,444398783.0,0.86,-0.4,-0.008,2.3
2025-03-24,1.984,1.999,1.999,1.983,2507265,498843424.0,0.81,1.32,0.026,2.56
2025-03-25,2.025,2.017,2.026,2.01,2451371,494670766.0,0.8,0.9,0.018,2.5
2025-03-26,2.028,2.011,2.028,2.008,1746173,351534941.0,0.99,-0.3,-0.006,1.78
2025-03-27,1.98,1.983,1.986,1.98,1622048,321567798.0,0.3,-1.39,-0.028,1.65
2025-03-28,1.974,1.963,1.976,1.962,1564705,307933305.0,0.71,-1.01,-0.02,1.59
2025-03-31,1.91,1.907,1.92,1.906,2001722,382813852.0,0.71,-2.85,-0.056,2.04
2025-04-01,1.917,1.937,1.939,1.917,2248768,433956103.0,1.15,1.57,0.03,2.29
2025-04-02,1.94,1.937,1.942,1.936,1966888,381332128.0,0.31,0.0,0.0,2.0
2025-04-03,1.903,1.897,1.912,1.895,3416121,649805361.0,0.88,-2.07,-0.04,3.48
2025-04-07,1.707,1.707,1.725,1.707,5655432,967455000.0,0.95,-10.02,-0.19,5.76
2025-04-08,1.737,1.776,1.793,1.737,5082647,902064322.0,3.28,4.04,0.069,5.18
2025-04-09,1.707,1.722,1.729,1.695,7420048,1270310189.0,1.91,-3.04,-0.054,7.56
2025-04-10,1.881,1.886,1.888,1.831,6701700,1258236161.0,3.31,9.52,0.164,6.83
2025-04-11,1.807,1.841,1.849,1.802,6209563,1132299293.0,2.49,-2.39,-0.045,6.33
2025-04-14,1.864,1.872,1.875,1.857,2963731,552969796.0,0.98,1.68,0.031,3.02
2025-04-15,1.868,1.865,1.869,1.863,1515088,282637848.0,0.32,-0.37,-0.007,1.54
2025-04-16,1.854,1.842,1.854,1.835,2154094,397627015.0,1.02,-1.23,-0.023,2.2
2025-04-17,1.831,1.835,1.84,1.826,2632814,482965469.0,0.76,-0.38,-0.007,2.68
2025-04-18,1.826,1.829,1.832,1.823,928764,169737482.0,0.49,-0.33,-0.006,0.95
2025-04-21,1.811,1.806,1.815,1.804,1841734,333078425.0,0.6,-1.26,-0.023,1.88
2025-04-22,1.792,1.803,1.804,1.787,2202368,394712388.0,0.94,-0.17,-0.003,2.24
