date,open,high,low,close,volume
2001-01-02,34.9352,35.0652,28.8152,29.8152,61893300.0
2001-01-03,28.5652,39.4352,28.5352,38.8152,16769100.0
2001-01-04,37.9952,39.9952,36.6052,37.6852,57213600.0
2001-01-05,37.6852,37.6852,32.3752,32.9952,68539800.0
2001-01-08,32.6852,34.7552,29.8952,33.6252,54537100.0
2001-01-09,34.1252,35.4952,32.9952,33.6252,52996800.0
2001-01-10,32.4952,36.7552,32.1252,36.5652,73307500.0
2001-01-11,35.6452,40.0652,35.5652,38.3152,63475200.0
2001-01-12,39.1252,40.9952,36.8752,39.1052,60497500.0
2001-01-16,38.9352,39.2952,36.9352,38.3552,30688600.0
2001-01-17,40.8752,41.9852,39.5152,40.2552,60132500.0
2001-01-18,40.4952,43.1252,39.0652,42.9352,53868300.0
2001-01-19,44.5152,44.6852,41.9352,42.6852,55806700.0
2001-01-22,42.2552,43.3752,41.1252,42.7552,35482100.0
2001-01-23,42.2852,45.3252,41.6852,44.1452,49213200.0
2001-01-24,44.4352,45.4952,43.4252,43.4952,52259000.0
2001-01-25,43.2552,44.0452,40.7552,40.8752,55996800.0
2001-01-26,39.9352,42.6252,39.3752,41.9252,45485700.0
2001-01-29,41.1252,43.6252,40.6252,43.3752,31363200.0
2001-01-30,43.5252,44.1152,42.3752,43.1252,41734700.0
2001-01-31,43.6252,44.3752,40.6752,40.6752,58900700.0
2001-02-01,40.9252,41.9852,39.9752,41.5252,44732500.0
2001-02-02,41.3152,41.6752,37.8552,37.9252,47192500.0
2001-02-05,37.5652,38.2752,36.4952,37.8752,35793600.0
2001-02-06,37.8652,39.4952,36.3752,37.9752,41282000.0
2001-02-07,36.8852,37.5752,34.9552,36.9752,61406300.0
2001-02-08,37.2752,37.8752,34.9552,35.1652,47966400.0
2001-02-09,34.6252,34.9752,32.3752,32.7752,54936900.0
2001-02-12,32.6252,34.3152,31.8652,33.4552,50354400.0
2001-02-13,34.0252,35.5552,30.8752,31.6252,58286300.0
2001-02-14,31.7752,34.1252,30.4952,33.8252,62424300.0
2001-02-15,35.1752,36.8652,34.0752,34.7752,65779900.0
2001-02-16,32.3352,33.2452,31.4152,31.5052,66405400.0
2001-02-20,32.1152,32.2152,28.6252,29.3652,54790100.0
2001-02-21,27.9252,30.4452,27.2952,27.8752,71353500.0
2001-02-22,27.8252,28.5352,25.2652,27.3752,2652400.0
2001-02-23,26.4652,27.9752,24.6052,27.5552,92938500.0
2001-02-26,28.4552,28.9752,26.6252,28.5252,77761700.0
2001-02-27,27.9152,28.4552,25.2752,25.3752,65804400.0
2001-02-28,25.8252,26.5852,23.2352,23.8252,1624000.0
2001-03-01,23.3452,25.5752,22.1252,25.1752,48200.0
