日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-03-17,477.19,480.334,483.389,475.389,41744354,20132623104.0,1.68,0.65,3.094,0.0
2025-03-18,476.991,472.146,477.19,470.026,39072265,18555547904.0,1.49,-1.7,-8.188,0.0
2025-03-19,474.404,478.464,482.881,472.474,40430334,19407823616.0,2.2,1.34,6.318,0.0
2025-03-20,474.474,476.842,482.105,473.777,36780549,17664455680.0,1.74,-0.34,-1.622,0.0
2025-03-21,471.688,478.414,479.18,470.519,42234874,20173007360.0,1.82,0.33,1.572,0.0
2025-03-24,486.002,488.912,489.759,482.674,34567186,16932209408.0,1.48,2.19,10.498,0.0
2025-03-25,489.639,491.702,491.861,488.673,26035241,12818075648.0,0.65,0.57,2.79,0.0
2025-03-26,490.546,482.654,491.403,481.1,35043357,17050344960.0,2.1,-1.84,-9.048,0.0
2025-03-27,480.691,479.904,484.846,478.539,33469817,16175992832.0,1.31,-0.57,-2.75,0.0
2025-03-28,478.101,467.269,478.808,466.383,46363797,21887526912.0,2.59,-2.63,-12.635,0.0
2025-03-31,460.274,467.249,468.186,455.701,53000303,24583119104.0,2.67,0.0,-0.02,0.0
2025-04-01,465.635,471.016,471.943,462.766,41156226,19337871616.0,1.96,0.81,3.767,0.0
2025-04-02,464.459,474.454,477.852,464.2,49894489,23667684096.0,2.9,0.73,3.438,0.0
2025-04-03,454.814,449.055,458.431,448.536,70456338,32042807808.0,2.09,-5.35,-25.399,0.0
2025-04-04,436.579,421.164,438.801,421.164,117088441,50441215232.0,3.93,-6.21,-27.891,0.0
2025-04-07,407.204,422.181,441.561,400.956,161556970,68071639040.0,9.64,0.24,1.017,0.0
2025-04-08,436.599,414.578,441.56,408.33,101248060,43377529856.0,7.87,-1.8,-7.603,0.0
2025-04-09,414.09,464.34,466.163,413.95,142876878,63423672576.0,12.59,12.0,49.762,0.0
2025-04-10,451.944,444.59,453.967,431.089,108384092,48276946944.0,4.93,-4.25,-19.75,0.0
2025-04-11,443.066,452.781,454.166,439.758,52483779,23629946880.0,3.24,1.84,8.191,0.0
2025-04-14,462.805,455.85,463.393,451.018,43941179,20161495040.0,2.73,0.68,3.069,0.0
2025-04-15,456.906,456.358,460.733,454.525,35404210,16254036992.0,1.36,0.11,0.508,0.0
2025-04-16,447.43,442.598,451.008,436.2,48980552,21802119680.0,3.24,-3.02,-13.76,0.0
2025-04-17,445.577,442.518,446.155,439.788,44837047,19945605888.0,1.44,-0.02,-0.08,0.0
2025-04-21,436.669,431.567,437.516,426.406,44149313,19073261824.0,2.51,-2.47,-10.951,0.0
2025-04-22,437.257,442.897,445.985,436.061,52304388,23173637120.0,2.3,2.63,11.33,0.0
2025-04-23,456.538,452.941,461.729,451.267,55801136,25552223232.0,2.36,2.27,10.044,0.0
2025-04-24,454.854,465.685,465.994,454.206,45956136,21320067840.0,2.6,2.81,12.744,0.0
2025-04-25,465.306,470.877,471.405,463.732,38697063,18180997888.0,1.65,1.11,5.192,0.0
2025-04-28,471.345,470.727,473.116,464.37,33550778,15779326720.0,1.86,-0.03,-0.15,0.0
2025-04-29,468.495,473.836,474.727,467.917,30613120,14507373312.0,1.45,0.66,3.109,0.0
2025-04-30,465.466,473.776,475.5,460.783,46810610,21985306112.0,3.11,-0.01,-0.06,0.0
2025-05-01,481.688,479.964,485.444,479.027,43316539,20954474752.0,1.35,1.31,6.188,0.0
2025-05-02,484.807,487.089,489.161,483.103,39218082,19165373952.0,1.26,1.48,7.125,0.0
2025-05-05,482.874,484.199,487.288,482.375,28309490,13777010688.0,1.01,-0.59,-2.89,0.0
2025-05-06,477.852,479.695,483.322,476.486,32786310,15794230272.0,1.41,-0.93,-4.504,0.0
2025-05-07,480.363,481.578,484.069,475.083,38109864,18337851136.0,1.87,0.39,1.883,0.0
2025-05-08,486.79,486.55,490.945,482.445,39577592,19376689152.0,1.77,1.03,4.972,0.0
2025-05-09,488.464,486.232,489.789,484.463,27767416,13562449152.0,1.09,-0.07,-0.318,0.0
2025-05-12,505.184,506.041,506.081,499.693,45090616,22789668352.0,1.31,4.07,19.809,0.0
2025-05-13,507.346,513.753,515.547,506.609,53269573,27430865920.0,1.77,1.52,7.712,0.0
2025-05-14,514.929,516.832,517.378,513.913,47014516,24337796352.0,0.67,0.6,3.079,0.0
2025-05-15,514.68,517.4,520.071,513.335,50153275,26006089472.0,1.3,0.11,0.568,0.0
2025-05-16,518.805,519.652,519.841,515.258,48394603,25168816128.0,0.89,0.44,2.252,0.0
2025-05-19,512.408,520.15,520.668,512.408,52536154,27310079488.0,1.59,0.1,0.498,0.0
2025-05-20,517.619,518.417,519.074,514.819,42517561,22080406528.0,0.82,-0.33,-1.733,0.0
2025-05-21,514.431,511.212,521.137,509.419,71292831,36861981696.0,2.26,-1.39,-7.205,0.0
2025-05-22,511.83,512.169,515.866,510.475,55607169,28666024448.0,1.05,0.19,0.957,0.0
2025-05-23,504.377,507.426,510.017,503.779,58368075,29712024320.0,1.22,-0.93,-4.743,0.0
